Facility ID,Facility Name,Short Description,Description,Facility Open Date,Facility Address 1,Facility Address 2,Facility City,Facility State,Facility Zip Code,Facility Phone Number,Facility Fax Number,Facility Website,Facility County Code,Facility County,Regional Office ID,Regional Office,Main Site Name,Main Site Facility ID,Operating Certificate Number,Operator Name,Operator Address 1,Operator Address 2,Operator City,Operator State,Operator Zip Code,Cooperator Name,Cooperator Address,Cooperator Address 2,Cooperator City,Cooperator State,Cooperator Zip Code,Ownership Type,Facility Latitude,Facility Longitude,Facility Location
1,Albany Medical Center Hospital,HOSP,Hospital,1/1/1901,43 New Scotland Avenue,,Albany,New York,12208,5182623474,5182623398,,1,Albany,4,Capital District Regional Office,,,0101000H,Albany Medical Center,New Scotland Avenue,,Albany,New York,12208,Albany Medical Center Hospital,New Scotland Avenue,,Albany,New York,12208,Not for Profit Corporation,42.65337,-73.773834,"(42.65337, -73.773834)"
2,Albany Medical Center - South Clinical Campus,HOSP,Hospital,2/1/1980,25 Hackett Blvd,,Albany,New York,12208,5182621200,,,1,Albany,4,Capital District Regional Office,Albany Medical Center Hospital,1,0101000H,Albany Medical Center,New Scotland Avenue,,Albany,New York,12208,Albany Medical Center Hospital,New Scotland Avenue,,Albany,New York,12208,Not for Profit Corporation,42.645485,-73.77829,"(42.645485, -73.77829)"
4,Albany Memorial Hospital,HOSP,Hospital,1/1/1901,600 Northern Blvd,,Albany,New York,12204,5184713221,,,1,Albany,4,Capital District Regional Office,,,0101003H,St. Peter's Health Partners,315 South Manning Boulevard,,Albany,New York,12208,"Memorial Hospital, Albany NY",Memorial Hospital,,Albany,New York,12204,Not for Profit Corporation,42.674271,-73.749268,"(42.674271, -73.749268)"
5,St Peters Hospital,HOSP,Hospital,1/1/1901,315 South Manning Blvd,,Albany,New York,12208,5184541550,,,1,Albany,4,Capital District Regional Office,,,0101004H,St. Peter's Health Partners,315 South Manning Boulevard,,Albany,New York,12208,St Peters Hospital Inc,315 South Manning Blvd,,Albany,New York,12208,Not for Profit Corporation,42.657539,-73.803879,"(42.657539, -73.803879)"
8,Albany County Health Dept,DTC,Diagnostic and Treatment Center,9/27/1979,175 Green Street,,Albany,New York,12201,5184474580,,,1,Albany,4,Capital District Regional Office,,,0101202R,County of Albany,112 State Street,,Albany,New York,12207,,,,,New York,,County,42.641979,-73.75441,"(42.641979, -73.75441)"
9,"Center for Disability Services, Inc.",DTC,Diagnostic and Treatment Center,9/27/1979,314 South Manning Boulevard,,Albany,New York,12208,5184898336,,,1,Albany,4,Capital District Regional Office,,,0101203R,"Center for Disability Services, Inc.",314 South Manning Boulevard,,Albany,New York,12208,,,,,New York,,Not for Profit Corporation,42.656338,-73.805016,"(42.656338, -73.805016)"
10,Upper Hudson Planned Parenthood Inc,DTC,Diagnostic and Treatment Center,9/27/1979,855 Central Avenue,,Albany,New York,12210,5184344979,,,1,Albany,4,Capital District Regional Office,,,0101204R,Upper Hudson Planned Parenthood Inc,855 Central Avenue,,Albany,New York,12210,,,,,New York,,Not for Profit Corporation,42.680267,-73.790146,"(42.680267, -73.790146)"
11,Whitney M Young Jr Health Center Inc,DTC,Diagnostic and Treatment Center,9/27/1979,920 Lark Drive,,Albany,New York,12207,5184654771,,,1,Albany,4,Capital District Regional Office,,,0101205R,Whitney M Young Jr Health Center Inc,Lark And Arbor Drives,,Albany,New York,12207,,,,,New York,,Not for Profit Corporation,42.662682,-73.748375,"(42.662682, -73.748375)"
12,Oswego Hospital - Alvin L Krakau Comm Mtl Health Center Div,HOSP,Hospital,2/1/1981,74 Bunner Street,,Oswego,New York,13126,3153495526,,,37,Oswego,3,Central New York Regional Office,Oswego Hospital,727,3702000H,Oswego Hospital Inc,110 West Sixth Street,,Oswego,New York,13126,,,,,New York,,Not for Profit Corporation,43.450497,-76.490562,"(43.450497, -76.490562)"
15,GHI-Family Dental Practice,DTC-EC,Diagnostic and Treatment Center Extension Clinic,7/21/1997,"Empire State Plaza,Bldg #4",,Albany,New York,12220,5184367815,,,1,Albany,4,Capital District Regional Office,GHI-Family Dental Practice,7517,0101222R,EmblemHealth Medical and Dental Services,55 Water Street,13 E 07,New York,New York,10041,,,,,New York,,Not for Profit Corporation,42.6525,-73.756599,"(42.6525, -73.756599)"
17,St. Peter's Nursing And Rehabilitation Center,NH,Residential Health Care Facility - SNF,1/1/1901,301 Hackett Blvd,,Albany,New York,12208,5185257600,,,1,Albany,4,Capital District Regional Office,,,0101305N,Villa Mary Immaculate,St Elizabeth Motherhouse,,Allegany,New York,14706,St. Peter's Hospital,St Elizabeth Motherhouse,,Allegany,New York,14706,Not for Profit Corporation,42.653301,-73.805016,"(42.653301, -73.805016)"
19,St. Margaret's Center,NH,Residential Health Care Facility - SNF,1/1/1901,27 Hackett Blvd,,Albany,New York,12208,5185913300,,,1,Albany,4,Capital District Regional Office,,,0101307N,Center for Disability Services Holding Corporation,314 South Manning Boulevard,,Albany,New York,12208,,,,,New York,,Not for Profit Corporation,42.645485,-73.77829,"(42.645485, -73.77829)"
21,Hudson Park Rehabilitation and Nursing Center,NH,Residential Health Care Facility - SNF,8/1/1980,325 Northern Boulevard,,Albany,New York,12204,5184491100,,,1,Albany,4,Capital District Regional Office,,,0101315N,"JBRNC, LLC",1 Hillcrest Center Drive,Suite #225,Spring Valley,New York,10977,,,,,New York,,LLC,42.670933,-73.753693,"(42.670933, -73.753693)"
22,Daughters of Sarah Nursing Center,NH,Residential Health Care Facility - SNF,1/1/1901,180 Washington Ave Ext,,Albany,New York,12203,5184567831,,,1,Albany,4,Capital District Regional Office,,,0101312N,Daughters of Sarah Nursing Home Co Inc,Washington Ave And Rapp Rd,,Albany,New York,12203,,,,,New York,,Not for Profit Corporation,42.699898,-73.851563,"(42.699898, -73.851563)"
23,Teresian House Nursing Home Co Inc,NH,Residential Health Care Facility - SNF,1/1/1901,200 Washington Ave Ext,,Albany,New York,12203,5184562000,,,1,Albany,4,Capital District Regional Office,,,0101313N,Teresian House Nursing Home Co Inc,Washington Avenue Ext,,Albany,New York,12203,,,,,New York,,Not for Profit Corporation,42.702076,-73.854187,"(42.702076, -73.854187)"
27,Bethlehem Commons Care Center,NH,Residential Health Care Facility - SNF,1/1/1991,125 Rockefeller Road,,Delmar,New York,12054,5186211200,,,1,Albany,4,Capital District Regional Office,,,0151300N,"Good Samaritan Lutheran Health Care Center, Inc",125 Rockefeller Road,,Delmar,New York,12054,,,,,New York,,Not for Profit Corporation,42.625923,-73.802002,"(42.625923, -73.802002)"
30,Albany County Nursing Home,NH,Residential Health Care Facility - SNF,1/1/1901,Albany-Shaker Road,,Albany,New York,12211,5188692231,,,1,Albany,4,Capital District Regional Office,,,0153302N,County of Albany,112 State Street,,Albany,New York,12207,,,,,New York,,County,42.747261,-73.817245,"(42.747261, -73.817245)"
33,The Grand Rehabilitation and Nursing at Guilderland,NH,Residential Health Care Facility - SNF,2/1/1989,428 State Route 146,,Altamont,New York,12009,5188615141,5188615437,,1,Albany,4,Capital District Regional Office,,,0155304N,"Guilderland Operator, LLC",428 State Route 146,,Altamont,New York,12009,,,,,New York,,LLC,42.702211,-73.961676,"(42.702211, -73.961676)"
34,Allegany County Department of Health,DTC,Diagnostic and Treatment Center,9/27/1979,Court House,,Belmont,New York,14813,5852689250,,,2,Allegany,1,Western Regional Office - Buffalo,,,0221201R,Allegany County Department of Health,County Office Building,,Belmont,New York,14813,,,,,New York,,County,42.224958,-78.033314,"(42.224958, -78.033314)"
37,Cuba Memorial Hospital Inc,,Primary Care Hospital - Critical Access Hospital,4/1/1980,140 West Main Street,,Cuba,New York,14727,5859682000,,,2,Allegany,1,Western Regional Office - Buffalo,,,0226700C,Cuba Memorial Hospital Inc,140 West Main St,,Cuba,New York,14727,,,,,New York,,Not for Profit Corporation,42.213474,-78.287506,"(42.213474, -78.287506)"
38,Cuba Memorial Hospital Inc SNF,NH,Residential Health Care Facility - SNF,1/1/1901,140 West Main Street,,Cuba,New York,14727,5859682000,,,2,Allegany,1,Western Regional Office - Buffalo,,,0226000N,Cuba Memorial Hospital Inc,140 West Main St,,Cuba,New York,14727,,,,,New York,,Not for Profit Corporation,42.213474,-78.287506,"(42.213474, -78.287506)"
